NumTrees,TrainingTime_ms,PredictionTime_ms,Accuracy,MemoryUsage_MB,SamplesPerTree,FeaturesPerTree,TrainingThroughput_samples_per_sec,PredictionThroughput_samples_per_sec,F1Score,Precision,Recall
36,684.734,4.32849,0.732,57,2000,17,2920.84,231027,0.724959,0.738133,0.724349
50,720.18,1.61108,0.74,7,2000,17,2777.08,620702,0.732632,0.747843,0.731967
100,1432.92,3.58658,0.735,12,2000,17,1395.75,278817,0.728127,0.741152,0.727434
150,2305.07,9.13214,0.74,10,2000,17,867.654,109503,0.732993,0.747049,0.732248
200,2883.67,6.33352,0.735,4,2000,17,693.562,157890,0.728648,0.740113,0.727856
