NumTrees,NumThreads,TrainingTime_ms,PredictionTime_ms,TotalTime_ms,Accuracy,MemoryUsage_MB,SamplesPerTree,FeaturesPerTree,TrainingThroughput_samples_per_sec,PredictionThroughput_samples_per_sec,F1Score,Precision,Recall,TrainingSpeedup,PredictionSpeedup,OverallSpeedup,TrainingEfficiency,PredictionEfficiency,OverallEfficiency
36,2,1213.8,7.8363,1221.63,0.729,1,2000,17,1647.72,127611,0.720837,0.737015,0.720561,1,1,1,1,1,1
50,2,1516.63,9.8682,1526.5,0.69,0,2000,17,1318.71,101336,0.687354,0.688459,0.686926,1,1,1,1,1,1
100,2,3636.36,22.7245,3659.09,0.685,0,2000,17,550,44005.4,0.683312,0.683399,0.683238,1,1,1,1,1,1
150,2,5886.16,34.1164,5920.27,0.704,1,2000,17,339.78,29311.4,0.701361,0.702692,0.700854,1,1,1,1,1,1
200,2,7721.56,47.5461,7769.1,0.704,0,2000,17,259.015,21032.2,0.701473,0.702644,0.700995,1,1,1,1,1,1
36,3,626.585,2.85248,629.438,0.729,0,2000,17,3191.9,350572,0.720837,0.737015,0.720561,1.93716,2.74719,1.94083,0.64572,0.171699,0.102149
50,3,800.584,2.90634,803.49,0.69,0,2000,17,2498.18,344075,0.687354,0.688459,0.686926,1.89441,3.3954,1.89984,0.631469,0.212213,0.0999915
100,3,2019.51,4.79829,2024.31,0.685,1,2000,17,990.338,208407,0.683312,0.683399,0.683238,1.80061,4.73595,1.80757,0.600205,0.295997,0.0951354
150,3,3094.98,5.37749,3100.35,0.704,2,2000,17,646.208,185961,0.701361,0.702692,0.700854,1.90184,6.34431,1.90955,0.633947,0.396519,0.100502
200,3,4041.59,6.72383,4048.32,0.704,1,2000,17,494.855,148725,0.701473,0.702644,0.700995,1.91052,7.07128,1.9191,0.636841,0.441955,0.101005
36,6,429.342,3.87816,433.221,0.729,0,2000,17,4658.29,257855,0.720837,0.737015,0.720561,2.8271,2.02063,2.81989,0.471184,0.0631446,0.0742075
50,6,581.125,4.17887,585.304,0.69,0,2000,17,3441.6,239299,0.687354,0.688459,0.686926,2.60982,2.36145,2.60805,0.434971,0.0737954,0.0686329
100,6,1354.73,7.36858,1362.1,0.685,2,2000,17,1476.31,135711,0.683312,0.683399,0.683238,2.6842,3.08397,2.68636,0.447367,0.0963741,0.0706938
150,6,2147.59,6.30591,2153.9,0.704,2,2000,17,931.275,158581,0.701361,0.702692,0.700854,2.74082,5.41023,2.74863,0.456803,0.16907,0.0723324
200,6,2572.73,6.68203,2579.41,0.704,1,2000,17,777.386,149655,0.701473,0.702644,0.700995,3.00131,7.11551,3.01197,0.500219,0.22236,0.0792624
36,12,674.909,3.80378,678.713,0.729,0,2000,17,2963.36,262897,0.720837,0.737015,0.720561,1.79846,2.06014,1.79992,0.149871,0.066456,0.0418587
50,12,724.175,4.05195,728.227,0.69,2,2000,17,2761.76,246795,0.687354,0.688459,0.686926,2.09429,2.43542,2.09619,0.174524,0.0785619,0.0487486
100,12,1858.88,6.05988,1864.94,0.685,2,2000,17,1075.92,165020,0.683312,0.683399,0.683238,1.95621,3.74999,1.96204,0.163018,0.120967,0.0456289
150,12,3960.98,7.00683,3967.99,0.704,0,2000,17,504.926,142718,0.701361,0.702692,0.700854,1.48604,4.86902,1.49201,0.123836,0.157065,0.0346979
200,12,4775.27,9.90786,4785.18,0.704,2,2000,17,418.824,100930,0.701473,0.702644,0.700995,1.61699,4.79882,1.62358,0.134749,0.154801,0.0377576
36,18,500.783,5.35639,506.14,0.729,0,2000,17,3993.74,186693,0.720837,0.737015,0.720561,2.42379,1.46298,2.41363,0.134655,0.0457182,0.0482725
50,18,658.283,4.29474,662.578,0.69,0,2000,17,3038.21,232843,0.687354,0.688459,0.686926,2.30392,2.29774,2.30388,0.127996,0.0718043,0.0460777
100,18,2392.85,6.84009,2399.69,0.685,1,2000,17,835.822,146197,0.683312,0.683399,0.683238,1.51968,3.32225,1.52482,0.0844265,0.10382,0.0304963
150,18,1891.91,14.8972,1906.8,0.704,1,2000,17,1057.13,67126.6,0.701361,0.702692,0.700854,3.11123,2.29012,3.10481,0.172846,0.0715662,0.0620963
200,18,2688.76,9.28386,2698.04,0.704,1,2000,17,743.837,107714,0.701473,0.702644,0.700995,2.87179,5.12137,2.87953,0.159544,0.160043,0.0575906
36,33,379.916,4.45758,384.374,0.729,1,2000,17,5264.32,224337,0.720837,0.737015,0.720561,3.19491,1.75797,3.17824,0.0968153,0.0549367,0.048896
50,33,859.427,4.06427,863.491,0.69,1,2000,17,2327.13,246046,0.687354,0.688459,0.686926,1.7647,2.42803,1.76783,0.0534758,0.0758761,0.0271973
100,33,1364.27,5.28048,1369.55,0.685,0,2000,17,1465.98,189377,0.683312,0.683399,0.683238,2.66542,4.30349,2.67174,0.0807704,0.134484,0.0411037
150,33,1385.27,7.10075,1392.37,0.704,2,2000,17,1443.76,140830,0.701361,0.702692,0.700854,4.24909,4.80462,4.25192,0.12876,0.150145,0.0654142
200,33,2515.64,6.16732,2521.81,0.704,1,2000,17,795.026,162145,0.701473,0.702644,0.700995,3.06942,7.70935,3.08077,0.0930127,0.240917,0.0473964
