NumTrees,TrainingTime_ms,PredictionTime_ms,Accuracy,MemoryUsage_MB,SamplesPerTree,FeaturesPerTree,TrainingThroughput_samples_per_sec,PredictionThroughput_samples_per_sec,F1Score,Precision,Recall
36,668.214,4.21625,0.732,2,2000,17,2993.05,237177,0.724959,0.738133,0.724349
50,680.934,4.39882,0.74,3,2000,17,2937.14,227333,0.732632,0.747843,0.731967
100,1362.63,6.67087,0.735,3,2000,17,1467.76,149906,0.728127,0.741152,0.727434
150,1862.35,6.69474,0.74,4,2000,17,1073.91,149371,0.732993,0.747049,0.732248
200,2605.58,8.01708,0.735,4,2000,17,767.584,124734,0.728648,0.740113,0.727856
