NumTrees,TrainingTime_ms,MemoryUsage_MB,TrainSamples,TrainingThroughput_samples_per_sec,PredictionTime_ms,TestSamples,FeaturesPerTree,PredictionThroughput_samples_per_sec,Accuracy,F1Score,Precision,Recall
36,2597.15,0,2000,770.07631.4644,1000,2,31782,0.722,0.714696,0.727467,0.7143
50,937.553,3,2000,2133.2146.9494,1000,2,21299.5,0.717,0.710397,0.720762,0.709909
100,2338.18,8,2000,855.36789.3054,1000,2,11197.5,0.723,0.716537,0.727104,0.715938
150,2084.29,11,2000,959.56122.509,1000,2,8162.66,0.739,0.732231,0.745414,0.731454
200,3134.96,14,2000,637.967161.433,1000,2,6194.5,0.738,0.731292,0.744166,0.73052
