NumTrees,TrainingTime_ms,PredictionTime_ms,Accuracy,MemoryUsage_MB,SamplesPerTree,FeaturesPerTree,TrainingThroughput_samples_per_sec,PredictionThroughput_samples_per_sec,F1Score,Precision,Recall
10,236397,188.997,0.7148,37,50000,17,211.509,52911,0.707592,0.718706,0.707107
50,568560,408.935,0.7268,152,50000,17,87.9415,24453.8,0.721048,0.729512,0.720155
100,1.10992e+06,795.007,0.7264,110,50000,17,45.0481,12578.5,0.720672,0.729041,0.719782
150,1.44159e+06,1135.7,0.7245,89,50000,17,34.684,8805.15,0.718757,0.727013,0.717894
200,1.9444e+06,2417.34,0.726,75,50000,17,25.7148,4136.79,0.72041,0.728395,0.719512
10,262102,174.032,0.7132,0,50001,17,190.769,57460.7,0.705529,0.717665,0.705176
50,1.58715e+06,727.857,0.7224,0,50001,17,31.5036,13739,0.716303,0.725286,0.715511
100,2.76007e+06,1365.8,0.7246,0,50001,17,18.1158,7321.73,0.718818,0.727181,0.717958
150,4.16749e+06,1034.52,0.726,88,50001,17,11.9979,9666.28,0.720231,0.728674,0.719351
200,5.6287e+06,2397.57,0.7263,73,50001,17,8.88322,4170.89,0.720578,0.728924,0.719689
