NumTrees,TrainingTime_ms,PredictionTime_ms,Accuracy,MemoryUsage_MB,SamplesPerTree,FeaturesPerTree,TrainingThroughput_samples_per_sec,PredictionThroughput_samples_per_sec,F1Score,Precision,Recall
10,82492.4,14.7121,0.62,19,20000,17,242.446,6797.11,0.555867,0.624431,0.578131
50,299658,37.1113,0.75,43,20000,17,66.7428,2694.6,0.723421,0.781185,0.720726
100,622214,149.854,0.72,39,20000,17,32.1433,667.316,0.688057,0.746667,0.688698
150,909605,111.573,0.69,40,20000,17,21.9876,896.27,0.652115,0.710526,0.656671
200,1.19575e+06,297.141,0.7,34,20000,17,16.7259,336.54,0.665775,0.72,0.668299
